;Species;kegg;p-value
135;UBA5704 (b);GT2;9.551297665195739e-05
136;UBA6522 (b);AA12;0.0
137;UBA6522 (b);GT25;8.97827697728608e-05
138;UBA6522 (c);AA4;0.00021780177464026792
139;UBA6522 (c);GT25;0.0001160751046026754
140;UBA6522 (d);AA4;5.583560894856257e-10
141;UBA6522 (d);GH73;8.365618668586027e-05
142;UBA6522 (e);AA2;9.124615542113439e-05
143;UBA8139;GH114;5.229559477187646e-05
144;UMGS416;CE1;2.978902968441256e-05
145;UMGS416;GH51;2.95253215880684e-07
146;Woeseiaceae (a);AA7;9.719729283868182e-07
147;Woeseiaceae (a);GH23;0.0002033096836624903
148;Woeseiaceae (a);GT17;0.0
149;Woeseiaceae (b);GH9;3.593447183695705e-05
150;ZC4RG35 (a);CBM11;0.0
151;ZC4RG35 (a);CBM48;1.9442975105136892e-05
152;ZC4RG35 (a);GH26;1.5439974980661885e-05
